node_id,ars_id,name,lat,lng,stop_type,in_seoul,toward
102000163,03257,용산푸르지오써밋,37.5272309,126.9645788,일반차로,1,용산역광장앞
102000164,03258,용산역광장앞,37.528333,126.965617,일반차로,1,용산전자상가10동
102000165,03259,용산역사박물관.용산철도고등학교,37.5255973,126.966015,일반차로,1,용산세무서
102000166,03260,용산역사박물관.용산철도고등학교,37.5253058,126.9671194,일반차로,1,신용산역
102000167,03261,용산세무서,37.5237318,126.969244,일반차로,1,이촌역
102000168,03262,용산세무서,37.5236214,126.9701544,일반차로,1,용산역사박물관.용산철도고등학교
102000169,03263,이촌역,37.5226689,126.9739086,일반차로,1,용산세무서
102000170,03264,이촌역,37.5223635,126.9740269,일반차로,1,국립중앙박물관.용산가족공원
102000171,03265,국립중앙박물관.용산가족공원,37.520898,126.9786512,일반차로,1,동작대교전망카페
102000172,03266,국립중앙박물관.용산가족공원,37.5208755,126.9799562,일반차로,1,이촌역
102000173,03267,서빙고역교차로,37.520427,126.9899,일반차로,1,서빙고역1번출구
102000174,03268,서빙고초등학교,37.5211711,126.9908894,일반차로,1,서빙고동금호베스트빌
102000175,03269,한강중학교,37.5251141,126.9913627,일반차로,1,서빙고동금호베스트빌
102000176,03270,서빙고동금호베스트빌,37.5226363,126.9907182,일반차로,1,서빙고초등학교
102000178,03272,서빙고동,37.519851,126.992986,일반차로,1,동빙고동
102000179,03273,서빙고동주민센터,37.520384,126.9948813,일반차로,1,서빙고역교차로
102000180,03274,동빙고동,37.5208184,126.9966907,일반차로,1,한남역.용산노인종합복지관
102000181,03275,동빙고동,37.5212626,126.997039,일반차로,1,서빙고동주민센터
102000182,03276,보광신동아아파트.삼성리버빌아파트,37.524738,127.0020297,일반차로,1,동빙고동
102000183,03277,보광동신동아아파트,37.5256238,127.0015149,일반차로,1,보광동
102000184,03278,보광동주민센터,37.5264591,127.0005046,일반차로,1,보광신동아아파트.삼성리버빌아파트
102000185,03279,보광동,37.528342,126.999026,일반차로,1,한국폴리텍1대학
102000186,03280,보광동,37.528182,126.9988968,일반차로,1,보광동주민센터
102000187,03281,한국폴리텍1대학,37.530196,126.9967926,일반차로,1,보광동
102000188,03282,한국폴리텍1대학,37.5305294,126.9965748,일반차로,1,이태원역.보광동입구
102000189,03283,이태원역.보광동입구,37.5334,126.994213,일반차로,1,한국폴리텍1대학
102000190,03284,이태원역.보광동입구,37.5338224,126.994227,일반차로,1,이태원119안전센터
102000191,03285,한남역.용산노인종합복지관,37.5312239,127.0067957,일반차로,1,한남동하이페리온
102000192,03286,한남역.용산노인종합복지관,37.5306688,127.0077699,일반차로,1,순천향병원입구
102000193,03287,이촌119안전센터.성촌공원,37.53008,126.9529475,일반차로,1,원효2동산호아파트후문
102000194,03288,이촌로입구.성촌공원앞,37.530171,126.9546065,일반차로,1,이촌119안전센터.성촌공원
102000195,03289,이촌로입구.성촌공원앞,37.5297474,126.9543511,일반차로,1,이촌2동주민센터
102000196,03290,이촌2동주민센터,37.5277364,126.955064,일반차로,1,이촌로입구.성촌공원앞
102000197,03291,이촌2동주민센터,37.5277029,126.9548606,일반차로,1,이촌2동대림아파트.새남터성지
102000198,03292,이촌2동대림아파트.새남터성지,37.5261753,126.9563231,일반차로,1,이촌2동주민센터
102000199,03293,이촌2동대림아파트.새남터성지,37.5260293,126.9561659,일반차로,1,이촌2동강변아파트
102000200,03294,서부이촌동입구,37.5238641,126.9594954,일반차로,1,이촌2동대림아파트.새남터성지
102000201,03295,이촌2동강변아파트,37.5234462,126.959781,일반차로,1,이촌동동부센트레빌
102000202,03296,원효2동산호아파트후문,37.53226,126.9500127,일반차로,1,청암동강변삼성아파트
102000203,03297,청암동강변삼성아파트,37.5346144,126.9482435,일반차로,1,삼부아파트
